run_id,model,dataset,dataset_name,dataset_path,request_rate,burstiness,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,seed
E10_M=4_s1,Qwen/Qwen2.5-3B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,1
E10_M=4_s2,Qwen/Qwen2.5-3B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,2
E11_M=1_s0,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,0
E11_M=1_s1,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,1
E11_M=1_s2,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,2
E11_M=2_s0,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,0
E11_M=2_s1,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,1
E11_M=2_s2,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,2
E11_M=4_s0,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,0
E11_M=4_s1,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,1
