run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0016_C016_LongBench-QMSum-1K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C016,LongBench-QMSum-1K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_1K.jsonl,--custom-output-len 128 --skip-chat-template
0017_C017_LongBench-QMSum-1K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C017,LongBench-QMSum-1K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_1K.jsonl,--custom-output-len 128 --skip-chat-template
0018_C018_LongBench-QMSum-1K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C018,LongBench-QMSum-1K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_1K.jsonl,--custom-output-len 128 --skip-chat-template
0019_C019_LongBench-QMSum-3K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C019,LongBench-QMSum-3K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3K.jsonl,--custom-output-len 128 --skip-chat-template
0020_C020_LongBench-QMSum-3K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C020,LongBench-QMSum-3K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3K.jsonl,--custom-output-len 128 --skip-chat-template
0021_C021_LongBench-QMSum-3K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C021,LongBench-QMSum-3K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3K.jsonl,--custom-output-len 128 --skip-chat-template
0022_C022_LongBench-QMSum-3.8K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C022,LongBench-QMSum-3.8K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0023_C023_LongBench-QMSum-3.8K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C023,LongBench-QMSum-3.8K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0024_C024_LongBench-QMSum-3.8K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C024,LongBench-QMSum-3.8K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0025_C025_STELLA-Corpus-1K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C025,STELLA-Corpus-1K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/stella_corpus_merged_1K.jsonl,--custom-output-len 128 --skip-chat-template
0026_C026_STELLA-Corpus-1K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C026,STELLA-Corpus-1K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/stella_corpus_merged_1K.jsonl,--custom-output-len 128 --skip-chat-template
0027_C027_STELLA-Corpus-1K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C027,STELLA-Corpus-1K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/stella_corpus_merged_1K.jsonl,--custom-output-len 128 --skip-chat-template
