run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0026_E06_GovReport-GAO-3K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-4,E06,GovReport-GAO-3K,medium_poisson,3B,Qwen/Qwen2.5-3B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0027_E09_GovReport-GAO-3K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-2,E09,GovReport-GAO-3K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0028_E09_GovReport-GAO-3K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-4,E09,GovReport-GAO-3K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0029_E07_GovReport-GAO-3K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-2,E07,GovReport-GAO-3K,medium_poisson,7B,Qwen/Qwen2.5-7B,auto-medium,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0030_E07_GovReport-GAO-3K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-4,E07,GovReport-GAO-3K,medium_poisson,7B,Qwen/Qwen2.5-7B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0031_E10_GovReport-GAO-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,E10,GovReport-GAO-3K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0032_E10_GovReport-GAO-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,E10,GovReport-GAO-3K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0033_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-2,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0034_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0035_E11_GovReport-GAO-3K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-2,E11,GovReport-GAO-3K,high_poisson,14B,Qwen/Qwen2.5-14B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
